pdf	median
0.0006526486	383457.867462
0.0006503586	386527.706319
0.0006480861	389608.331973
0.0006458308	392699.737523
0.0006435926	395801.916130
0.0006413712	398914.861014
0.0006391665	402038.565460
0.0006369782	405173.022811
0.0006348062	408318.226470
0.0006326502	411474.169900
0.0006305101	414640.846622
0.0006283858	417818.250214
0.0006262769	421006.374313
0.0006241833	424205.212611
0.0006221049	427414.758857
0.0006200415	430635.006854
0.0006179929	433865.950461
0.0006159590	437107.583591
0.0006139395	440359.900210
0.0006119343	443622.894338
0.0006099433	446896.560047
0.0006079663	450180.891461
0.0006060031	453475.882755
0.0006040536	456781.528156
0.0006021177	460097.821939
0.0006001951	463424.758432
0.0005982858	466762.332009
0.0005963895	470110.537096
0.0005945063	473469.368165
0.0005926358	476838.819737
0.0005907780	480218.886379
0.0005889328	483609.562707
0.0005870999	487010.843383
0.0005852794	490422.723112
0.0005834709	493845.196647
0.0005816745	497278.258787
0.0005798900	500721.904374
0.0005781173	504176.128293
0.0005763562	507640.925476
0.0005746066	511116.290895
0.0005728684	514602.219567
0.0005711416	518098.706550
0.0005694259	521605.746946
0.0005677212	525123.335897
0.0005660275	528651.468585
0.0005643446	532190.140237
0.0005626724	535739.346117
0.0005610109	539299.081530
0.0005593599	542869.341821
0.0005577193	546450.122373
0.0005560889	550041.418611
0.0005544688	553643.225996
0.0005528588	557255.540028
0.0005512587	560878.356244
0.0005496686	564511.670221
0.0005480883	568155.477570
0.0005465177	571809.773942
0.0005449567	575474.555022
0.0005434052	579149.816533
0.0005418631	582835.554232
0.0005403304	586531.763914
0.0005388069	590238.441407
0.0005372926	593955.582576
0.0005357874	597683.183317
0.0005342911	601421.239565
0.0005328038	605169.747286
0.0005313253	608928.702480
0.0005298555	612698.101181
0.0005283944	616477.939457
0.0005269418	620268.213406
0.0005254978	624068.919162
0.0005240621	627880.052888
0.0005226348	631701.610782
0.0005212158	635533.589071
0.0005198050	639375.984015
0.0005184022	643228.791905
0.0005170075	647092.009062
0.0005156208	650965.631840
0.0005142420	654849.656620
0.0005128710	658744.079817
0.0005115077	662648.897871
0.0005101522	666564.107256
0.0005088042	670489.704474
0.0005074638	674425.686054
0.0005061309	678372.048558
0.0005048054	682328.788573
0.0005034872	686295.902717
0.0005021764	690273.387633
0.0005008727	694261.239996
0.0004995763	698259.456505
0.0004982869	702268.033890
0.0004970045	706286.968905
0.0004957292	710316.258332
0.0004944607	714355.898982
0.0004931991	718405.887690
0.0004919444	722466.221318
0.0004906963	726536.896756
0.0004894550	730617.910917
0.0004882202	734709.260742
0.0004869921	738810.943198
0.0004857704	742922.955274
0.0004845552	747045.293988
0.0004833465	751177.956382
0.0004821440	755320.939521
0.0004809479	759474.240496
