pdf	median
0.0321493002	23.725390
0.0203357769	106.955882
0.0150068498	224.624755
0.0119311552	376.445154
0.0099191260	562.162282
0.0084968494	781.570697
0.0074366327	1034.502070
0.0066150489	1320.815344
0.0059592376	1640.389981
0.0054233550	1993.121308
0.0049770870	2378.917217
0.0045995726	2797.695769
0.0042759787	3249.383392
0.0039954647	3733.913509
0.0037499219	4251.225471
0.0035331621	4801.263698
0.0033403797	5383.977000
0.0031677854	5999.318016
0.0030123507	6647.242745
0.0028716254	7327.710169
0.0027436060	8040.681921
0.0026266379	8786.122008
0.0025193426	9563.996577
0.0024205624	10374.273707
0.0023293175	11216.923232
0.0022447735	12091.916588
0.0021662151	12999.226673
0.0020930253	13938.827731
0.0020246696	14910.695239
0.0019606823	15914.805820
0.0019006556	16951.137150
0.0018442312	18019.667889
0.0017910930	19120.377609
0.0017409606	20253.246730
0.0016935850	21418.256467
0.0016487439	22615.388781
0.0016062382	23844.626327
0.0015658894	25105.952414
0.0015275367	26399.350969
0.0014910350	27724.806498
0.0014562527	29082.304052
0.0014230707	30471.829202
0.0013913806	31893.368007
0.0013610835	33346.906988
0.0013320892	34832.433108
0.0013043152	36349.933744
0.0012776855	37899.396672
0.0012521307	39480.810044
0.0012275867	41094.162371
0.0012039944	42739.442508
0.0011812993	44416.639636
0.0011594510	46125.743249
0.0011384028	47866.743137
0.0011181113	49639.629380
0.0010985363	51444.392327
0.0010796403	53281.022592
0.0010613885	55149.511039
0.0010437484	57049.848772
0.0010266896	58982.027130
0.0010101837	60946.037670
0.0009942042	62941.872167
0.0009787261	64969.522600
0.0009637262	67028.981144
0.0009491826	69120.240169
0.0009350746	71243.292226
0.0009213829	73398.130044
0.0009080893	75584.746524
0.0008951766	77803.134731
0.0008826286	80053.287890
0.0008704300	82335.199381
0.0008585664	84648.862731
0.0008470241	86994.271613
0.0008357901	89371.419838
0.0008248523	91780.301354
0.0008141990	94220.910238
0.0008038193	96693.240694
0.0007937026	99197.287048
0.0007838391	101733.043747
0.0007742194	104300.505352
0.0007648345	106899.666536
0.0007556759	109530.522081
0.0007467354	112193.066874
0.0007380054	114887.295906
0.0007294784	117613.204265
0.0007211475	120370.787139
0.0007130059	123160.039808
0.0007050472	125980.957643
0.0006972653	128833.536106
0.0006896544	131717.770745
0.0006822088	134633.657191
0.0006749233	137581.191159
0.0006677927	140560.368442
0.0006608120	143571.184913
0.0006539767	146613.636519
0.0006472821	149687.719283
0.0006407240	152793.429299
0.0006342983	155930.762731
0.0006280009	159099.715811
0.0006218280	162300.284841
0.0006157759	165532.466186
0.0006098412	168796.256274
0.0006040204	172091.651597
0.0005983103	175418.648707
0.0005927078	178777.244216
0.0005872098	182167.434793
0.0005818134	185589.217166
0.0005765157	189042.588115
0.0005713143	192527.544476
0.0005662063	196044.083140
0.0005611893	199592.201045
0.0005562610	203171.895184
0.0005514188	206783.162597
0.0005466607	210426.000374
0.0005419844	214100.405653
0.0005373879	217806.375615
0.0005328690	221543.907491
0.0005284259	225312.998552
0.0005240567	229113.646118
0.0005197594	232945.847546
0.0005155324	236809.600239
0.0005113739	240704.901639
0.0005072823	244631.749229
0.0005032560	248590.140531
0.0004992934	252580.073106
0.0004953930	256601.544551
0.0004915533	260654.552504
0.0004877730	264739.094636
0.0004840507	268855.168654
0.0004803850	273002.772301
0.0004767746	277181.903354
0.0004732184	281392.559625
0.0004697150	285634.738956
0.0004662634	289908.439225
0.0004628623	294213.658339
0.0004595107	298550.394237
0.0004562076	302918.644890
0.0004529517	307318.408299
0.0004497423	311749.682492
0.0004465781	316212.465529
0.0004434584	320706.755497
0.0004403821	325232.550512
0.0004373484	329789.848718
0.0004343564	334378.648283
0.0004314052	338998.947406
0.0004284940	343650.744310
0.0004256220	348334.037242
0.0004227884	353048.824478
0.0004199924	357795.104315
0.0004172333	362572.875078
0.0004145104	367382.135114
0.0004118229	372222.882794
0.0004091701	377095.116512
0.0004065515	381998.834686
0.0004039663	386934.035755
0.0004014138	391900.718181
0.0003988936	396898.880448
0.0003964049	401928.521060
0.0003939472	406989.638544
0.0003915199	412082.231447
0.0003891224	417206.298336
0.0003867542	422361.837798
0.0003844148	427548.848441
0.0003821035	432767.328892
0.0003798201	438017.277797
0.0003775638	443298.693820
0.0003753343	448611.575645
0.0003731310	453955.921974
0.0003709536	459331.731526
0.0003688015	464739.003040
0.0003666743	470177.735270
0.0003645716	475647.926989
0.0003624929	481149.576987
0.0003604379	486682.684069
0.0003584062	492247.247059
0.0003563973	497843.264796
0.0003544108	503470.736134
0.0003524465	509129.659945
0.0003505038	514820.035114
0.0003485826	520541.860545
0.0003466823	526295.135153
0.0003448027	532079.857871
0.0003429435	537896.027646
0.0003411042	543743.643438
0.0003392847	549622.704223
0.0003374845	555533.208991
0.0003357033	561475.156746
0.0003339409	567448.546503
0.0003321970	573453.377296
0.0003304713	579489.648166
0.0003287634	585557.358173
0.0003270732	591656.506386
0.0003254002	597787.091888
0.0003237444	603949.113776
0.0003221054	610142.571157
0.0003204829	616367.463153
0.0003188767	622623.788896
0.0003172866	628911.547531
0.0003157124	635230.738215
0.0003141537	641581.360116
0.0003126103	647963.412414
0.0003110821	654376.894301
0.0003095688	660821.804979
0.0003080702	667298.143662
0.0003065861	673805.909574
0.0003051162	680345.101952
0.0003036604	686915.720040
0.0003022184	693517.763097
0.0003007901	700151.230389
0.0002993753	706816.121193
0.0002979738	713512.434798
0.0002965853	720240.170501
0.0002952098	726999.327609
0.0002938470	733789.905440
0.0002924967	740611.903321
0.0002911588	747465.320589
0.0002898332	754350.156590
0.0002885196	761266.410679
0.0002872178	768214.082221
0.0002859278	775193.170589
0.0002846493	782203.675166
0.0002833823	789245.595345
0.0002821265	796318.930524
0.0002808818	803423.680115
0.0002796480	810559.843533
0.0002784251	817727.420206
